release_kind,release_date
ISM,1980-10-01
NFP,1980-10-03
CPI,1980-10-08
ISM,1980-11-03
NFP,1980-11-07
CPI,1980-11-12
ISM,1980-12-01
NFP,1980-12-05
CPI,1980-12-10
ISM,1981-01-02
NFP,1981-01-02
CPI,1981-01-14
ISM,1981-02-02
NFP,1981-02-06
CPI,1981-02-11
ISM,1981-03-02
NFP,1981-03-06
CPI,1981-03-11
ISM,1981-04-01
NFP,1981-04-03
CPI,1981-04-08
ISM,1981-05-01
NFP,1981-05-01
CPI,1981-05-13
ISM,1981-06-01
NFP,1981-06-05
CPI,1981-06-10
ISM,1981-07-01
NFP,1981-07-06
CPI,1981-07-08
ISM,1981-08-03
NFP,1981-08-07
CPI,1981-08-12
ISM,1981-09-01
NFP,1981-09-04
CPI,1981-09-09
ISM,1981-10-01
NFP,1981-10-02
CPI,1981-10-14
ISM,1981-11-02
NFP,1981-11-06
CPI,1981-11-11
ISM,1981-12-01
NFP,1981-12-04
CPI,1981-12-09
ISM,1982-01-04
NFP,1982-01-04
CPI,1982-01-13
ISM,1982-02-01
NFP,1982-02-05
CPI,1982-02-10
ISM,1982-03-01
NFP,1982-03-05
CPI,1982-03-10
ISM,1982-04-01
NFP,1982-04-02
CPI,1982-04-14
ISM,1982-05-03
NFP,1982-05-07
CPI,1982-05-12
ISM,1982-06-01
NFP,1982-06-04
CPI,1982-06-09
ISM,1982-07-01
NFP,1982-07-02
CPI,1982-07-14
ISM,1982-08-02
NFP,1982-08-06
CPI,1982-08-11
ISM,1982-09-01
NFP,1982-09-03
CPI,1982-09-08
ISM,1982-10-01
NFP,1982-10-01
CPI,1982-10-13
ISM,1982-11-01
NFP,1982-11-05
CPI,1982-11-10
ISM,1982-12-01
NFP,1982-12-03
CPI,1982-12-08
ISM,1983-01-03
NFP,1983-01-07
CPI,1983-01-12
ISM,1983-02-01
NFP,1983-02-04
CPI,1983-02-09
ISM,1983-03-01
NFP,1983-03-04
CPI,1983-03-09
ISM,1983-04-01
NFP,1983-04-01
CPI,1983-04-13
ISM,1983-05-02
NFP,1983-05-06
CPI,1983-05-11
ISM,1983-06-01
NFP,1983-06-03
CPI,1983-06-08
ISM,1983-07-01
NFP,1983-07-01
CPI,1983-07-13
ISM,1983-08-01
NFP,1983-08-05
CPI,1983-08-10
ISM,1983-09-01
NFP,1983-09-02
CPI,1983-09-14
ISM,1983-10-03
NFP,1983-10-07
CPI,1983-10-12
ISM,1983-11-01
NFP,1983-11-04
CPI,1983-11-09
ISM,1983-12-01
NFP,1983-12-02
CPI,1983-12-14
ISM,1984-01-03
NFP,1984-01-06
CPI,1984-01-11
ISM,1984-02-01
NFP,1984-02-03
CPI,1984-02-08
ISM,1984-03-01
NFP,1984-03-02
CPI,1984-03-14
ISM,1984-04-02
NFP,1984-04-06
CPI,1984-04-11
ISM,1984-05-01
NFP,1984-05-04
CPI,1984-05-09
ISM,1984-06-01
NFP,1984-06-01
CPI,1984-06-13
ISM,1984-07-02
NFP,1984-07-06
CPI,1984-07-11
ISM,1984-08-01
NFP,1984-08-03
CPI,1984-08-08
ISM,1984-09-04
NFP,1984-09-07
CPI,1984-09-12
ISM,1984-10-01
NFP,1984-10-05
CPI,1984-10-10
ISM,1984-11-01
NFP,1984-11-02
CPI,1984-11-14
ISM,1984-12-03
NFP,1984-12-07
CPI,1984-12-12
ISM,1985-01-02
NFP,1985-01-04
CPI,1985-01-09
ISM,1985-02-01
NFP,1985-02-01
CPI,1985-02-13
ISM,1985-03-01
NFP,1985-03-01
CPI,1985-03-13
ISM,1985-04-01
NFP,1985-04-05
CPI,1985-04-10
ISM,1985-05-01
NFP,1985-05-03
CPI,1985-05-08
ISM,1985-06-03
NFP,1985-06-07
CPI,1985-06-12
ISM,1985-07-01
NFP,1985-07-05
CPI,1985-07-10
ISM,1985-08-01
NFP,1985-08-02
CPI,1985-08-14
ISM,1985-09-03
NFP,1985-09-06
CPI,1985-09-11
ISM,1985-10-01
NFP,1985-10-04
CPI,1985-10-09
ISM,1985-11-01
NFP,1985-11-01
CPI,1985-11-13
ISM,1985-12-02
NFP,1985-12-06
CPI,1985-12-11
ISM,1986-01-02
NFP,1986-01-03
CPI,1986-01-08
ISM,1986-02-03
NFP,1986-02-07
CPI,1986-02-12
ISM,1986-03-03
NFP,1986-03-07
CPI,1986-03-12
ISM,1986-04-01
NFP,1986-04-04
CPI,1986-04-09
ISM,1986-05-01
NFP,1986-05-02
CPI,1986-05-14
ISM,1986-06-02
NFP,1986-06-06
CPI,1986-06-11
ISM,1986-07-01
NFP,1986-07-07
CPI,1986-07-09
ISM,1986-08-01
NFP,1986-08-01
CPI,1986-08-13
ISM,1986-09-02
NFP,1986-09-05
CPI,1986-09-10
ISM,1986-10-01
NFP,1986-10-03
CPI,1986-10-08
ISM,1986-11-03
NFP,1986-11-07
CPI,1986-11-12
ISM,1986-12-01
NFP,1986-12-05
CPI,1986-12-10
ISM,1987-01-02
NFP,1987-01-02
CPI,1987-01-14
ISM,1987-02-02
NFP,1987-02-06
CPI,1987-02-11
ISM,1987-03-02
NFP,1987-03-06
CPI,1987-03-11
ISM,1987-04-01
NFP,1987-04-03
CPI,1987-04-08
ISM,1987-05-01
NFP,1987-05-01
CPI,1987-05-13
ISM,1987-06-01
NFP,1987-06-05
CPI,1987-06-10
ISM,1987-07-01
NFP,1987-07-06
CPI,1987-07-08
ISM,1987-08-03
NFP,1987-08-07
CPI,1987-08-12
ISM,1987-09-01
NFP,1987-09-04
CPI,1987-09-09
ISM,1987-10-01
NFP,1987-10-02
CPI,1987-10-14
ISM,1987-11-02
NFP,1987-11-06
CPI,1987-11-11
ISM,1987-12-01
NFP,1987-12-04
CPI,1987-12-09
ISM,1988-01-04
NFP,1988-01-04
CPI,1988-01-13
ISM,1988-02-01
NFP,1988-02-05
CPI,1988-02-10
ISM,1988-03-01
NFP,1988-03-04
CPI,1988-03-09
ISM,1988-04-01
NFP,1988-04-01
CPI,1988-04-13
ISM,1988-05-02
NFP,1988-05-06
CPI,1988-05-11
ISM,1988-06-01
NFP,1988-06-03
CPI,1988-06-08
ISM,1988-07-01
NFP,1988-07-01
CPI,1988-07-13
ISM,1988-08-01
NFP,1988-08-05
CPI,1988-08-10
ISM,1988-09-01
NFP,1988-09-02
CPI,1988-09-14
ISM,1988-10-03
NFP,1988-10-07
CPI,1988-10-12
ISM,1988-11-01
NFP,1988-11-04
CPI,1988-11-09
ISM,1988-12-01
NFP,1988-12-02
CPI,1988-12-14
ISM,1989-01-03
NFP,1989-01-06
CPI,1989-01-11
ISM,1989-02-01
NFP,1989-02-03
CPI,1989-02-08
ISM,1989-03-01
NFP,1989-03-03
CPI,1989-03-08
ISM,1989-04-03
NFP,1989-04-07
CPI,1989-04-12
ISM,1989-05-01
NFP,1989-05-05
CPI,1989-05-10
ISM,1989-06-01
NFP,1989-06-02
CPI,1989-06-14
ISM,1989-07-03
NFP,1989-07-07
CPI,1989-07-12
ISM,1989-08-01
NFP,1989-08-04
CPI,1989-08-09
ISM,1989-09-01
NFP,1989-09-01
CPI,1989-09-13
ISM,1989-10-02
NFP,1989-10-06
CPI,1989-10-11
ISM,1989-11-01
NFP,1989-11-03
CPI,1989-11-08
ISM,1989-12-01
NFP,1989-12-01
CPI,1989-12-13
ISM,1990-01-02
NFP,1990-01-05
CPI,1990-01-10
ISM,1990-02-01
NFP,1990-02-02
CPI,1990-02-14
ISM,1990-03-01
NFP,1990-03-02
CPI,1990-03-14
ISM,1990-04-02
NFP,1990-04-06
CPI,1990-04-11
ISM,1990-05-01
NFP,1990-05-04
CPI,1990-05-09
ISM,1990-06-01
NFP,1990-06-01
CPI,1990-06-13
ISM,1990-07-02
NFP,1990-07-06
CPI,1990-07-11
ISM,1990-08-01
NFP,1990-08-03
CPI,1990-08-08
ISM,1990-09-04
NFP,1990-09-07
CPI,1990-09-12
ISM,1990-10-01
NFP,1990-10-05
CPI,1990-10-10
ISM,1990-11-01
NFP,1990-11-02
CPI,1990-11-14
ISM,1990-12-03
NFP,1990-12-07
CPI,1990-12-12
ISM,1991-01-02
NFP,1991-01-04
CPI,1991-01-09
ISM,1991-02-01
NFP,1991-02-01
CPI,1991-02-13
ISM,1991-03-01
NFP,1991-03-01
CPI,1991-03-13
ISM,1991-04-01
NFP,1991-04-05
CPI,1991-04-10
ISM,1991-05-01
NFP,1991-05-03
CPI,1991-05-08
ISM,1991-06-03
NFP,1991-06-07
CPI,1991-06-12
ISM,1991-07-01
NFP,1991-07-05
CPI,1991-07-10
ISM,1991-08-01
NFP,1991-08-02
CPI,1991-08-14
ISM,1991-09-03
NFP,1991-09-06
CPI,1991-09-11
ISM,1991-10-01
NFP,1991-10-04
CPI,1991-10-09
ISM,1991-11-01
NFP,1991-11-01
CPI,1991-11-13
ISM,1991-12-02
NFP,1991-12-06
CPI,1991-12-11
ISM,1992-01-02
NFP,1992-01-03
CPI,1992-01-08
ISM,1992-02-03
NFP,1992-02-07
CPI,1992-02-12
ISM,1992-03-02
NFP,1992-03-06
CPI,1992-03-11
ISM,1992-04-01
NFP,1992-04-03
CPI,1992-04-08
ISM,1992-05-01
NFP,1992-05-01
CPI,1992-05-13
ISM,1992-06-01
NFP,1992-06-05
CPI,1992-06-10
ISM,1992-07-01
NFP,1992-07-06
CPI,1992-07-08
ISM,1992-08-03
NFP,1992-08-07
CPI,1992-08-12
ISM,1992-09-01
NFP,1992-09-04
CPI,1992-09-09
ISM,1992-10-01
NFP,1992-10-02
CPI,1992-10-14
ISM,1992-11-02
NFP,1992-11-06
CPI,1992-11-11
ISM,1992-12-01
NFP,1992-12-04
CPI,1992-12-09
ISM,1993-01-04
NFP,1993-01-04
CPI,1993-01-13
ISM,1993-02-01
NFP,1993-02-05
CPI,1993-02-10
ISM,1993-03-01
NFP,1993-03-05
CPI,1993-03-10
ISM,1993-04-01
NFP,1993-04-02
CPI,1993-04-14
ISM,1993-05-03
NFP,1993-05-07
CPI,1993-05-12
ISM,1993-06-01
NFP,1993-06-04
CPI,1993-06-09
ISM,1993-07-01
NFP,1993-07-02
CPI,1993-07-14
ISM,1993-08-02
NFP,1993-08-06
CPI,1993-08-11
ISM,1993-09-01
NFP,1993-09-03
CPI,1993-09-08
ISM,1993-10-01
NFP,1993-10-01
CPI,1993-10-13
ISM,1993-11-01
NFP,1993-11-05
CPI,1993-11-10
ISM,1993-12-01
NFP,1993-12-03
CPI,1993-12-08
ISM,1994-01-03
NFP,1994-01-07
CPI,1994-01-12
ISM,1994-02-01
NFP,1994-02-04
CPI,1994-02-09
ISM,1994-03-01
NFP,1994-03-04
CPI,1994-03-09
ISM,1994-04-01
NFP,1994-04-01
CPI,1994-04-13
ISM,1994-05-02
NFP,1994-05-06
CPI,1994-05-11
ISM,1994-06-01
NFP,1994-06-03
CPI,1994-06-08
ISM,1994-07-01
NFP,1994-07-01
CPI,1994-07-13
ISM,1994-08-01
NFP,1994-08-05
CPI,1994-08-10
ISM,1994-09-01
NFP,1994-09-02
CPI,1994-09-14
ISM,1994-10-03
NFP,1994-10-07
CPI,1994-10-12
ISM,1994-11-01
NFP,1994-11-04
CPI,1994-11-09
ISM,1994-12-01
NFP,1994-12-02
CPI,1994-12-14
ISM,1995-01-03
NFP,1995-01-06
CPI,1995-01-11
ISM,1995-02-01
NFP,1995-02-03
CPI,1995-02-08
ISM,1995-03-01
NFP,1995-03-03
CPI,1995-03-08
ISM,1995-04-03
NFP,1995-04-07
CPI,1995-04-12
ISM,1995-05-01
NFP,1995-05-05
CPI,1995-05-10
ISM,1995-06-01
NFP,1995-06-02
CPI,1995-06-14
ISM,1995-07-03
NFP,1995-07-07
CPI,1995-07-12
ISM,1995-08-01
NFP,1995-08-04
CPI,1995-08-09
ISM,1995-09-01
NFP,1995-09-01
CPI,1995-09-13
ISM,1995-10-02
NFP,1995-10-06
CPI,1995-10-11
ISM,1995-11-01
NFP,1995-11-03
CPI,1995-11-08
ISM,1995-12-01
NFP,1995-12-01
CPI,1995-12-13
ISM,1996-01-02
NFP,1996-01-05
CPI,1996-01-10
ISM,1996-02-01
NFP,1996-02-02
CPI,1996-02-14
ISM,1996-03-01
NFP,1996-03-01
CPI,1996-03-13
ISM,1996-04-01
NFP,1996-04-05
CPI,1996-04-10
ISM,1996-05-01
NFP,1996-05-03
CPI,1996-05-08
ISM,1996-06-03
NFP,1996-06-07
CPI,1996-06-12
ISM,1996-07-01
NFP,1996-07-05
CPI,1996-07-10
ISM,1996-08-01
NFP,1996-08-02
CPI,1996-08-14
ISM,1996-09-03
NFP,1996-09-06
CPI,1996-09-11
ISM,1996-10-01
NFP,1996-10-04
CPI,1996-10-09
ISM,1996-11-01
NFP,1996-11-01
CPI,1996-11-13
ISM,1996-12-02
NFP,1996-12-06
CPI,1996-12-11
ISM,1997-01-02
NFP,1997-01-03
CPI,1997-01-08
ISM,1997-02-03
NFP,1997-02-07
CPI,1997-02-12
ISM,1997-03-03
NFP,1997-03-07
CPI,1997-03-12
ISM,1997-04-01
NFP,1997-04-04
CPI,1997-04-09
ISM,1997-05-01
NFP,1997-05-02
CPI,1997-05-14
ISM,1997-06-02
NFP,1997-06-06
CPI,1997-06-11
ISM,1997-07-01
NFP,1997-07-07
CPI,1997-07-09
ISM,1997-08-01
NFP,1997-08-01
CPI,1997-08-13
ISM,1997-09-02
NFP,1997-09-05
CPI,1997-09-10
ISM,1997-10-01
NFP,1997-10-03
CPI,1997-10-08
ISM,1997-11-03
NFP,1997-11-07
CPI,1997-11-12
ISM,1997-12-01
NFP,1997-12-05
CPI,1997-12-10
ISM,1998-01-02
NFP,1998-01-02
CPI,1998-01-14
ISM,1998-02-02
NFP,1998-02-06
CPI,1998-02-11
ISM,1998-03-02
NFP,1998-03-06
CPI,1998-03-11
ISM,1998-04-01
NFP,1998-04-03
CPI,1998-04-08
ISM,1998-05-01
NFP,1998-05-01
CPI,1998-05-13
ISM,1998-06-01
NFP,1998-06-05
CPI,1998-06-10
ISM,1998-07-01
NFP,1998-07-06
CPI,1998-07-08
ISM,1998-08-03
NFP,1998-08-07
CPI,1998-08-12
ISM,1998-09-01
NFP,1998-09-04
CPI,1998-09-09
ISM,1998-10-01
NFP,1998-10-02
CPI,1998-10-14
ISM,1998-11-02
NFP,1998-11-06
CPI,1998-11-11
ISM,1998-12-01
NFP,1998-12-04
CPI,1998-12-09
ISM,1999-01-04
NFP,1999-01-04
CPI,1999-01-13
ISM,1999-02-01
NFP,1999-02-05
CPI,1999-02-10
ISM,1999-03-01
NFP,1999-03-05
CPI,1999-03-10
ISM,1999-04-01
NFP,1999-04-02
CPI,1999-04-14
ISM,1999-05-03
NFP,1999-05-07
CPI,1999-05-12
ISM,1999-06-01
NFP,1999-06-04
CPI,1999-06-09
ISM,1999-07-01
NFP,1999-07-02
CPI,1999-07-14
ISM,1999-08-02
NFP,1999-08-06
CPI,1999-08-11
ISM,1999-09-01
NFP,1999-09-03
CPI,1999-09-08
ISM,1999-10-01
NFP,1999-10-01
CPI,1999-10-13
ISM,1999-11-01
NFP,1999-11-05
CPI,1999-11-10
ISM,1999-12-01
NFP,1999-12-03
CPI,1999-12-08
ISM,2000-01-03
NFP,2000-01-07
CPI,2000-01-12
ISM,2000-02-01
NFP,2000-02-04
CPI,2000-02-09
ISM,2000-03-01
NFP,2000-03-03
CPI,2000-03-08
ISM,2000-04-03
NFP,2000-04-07
CPI,2000-04-12
ISM,2000-05-01
NFP,2000-05-05
CPI,2000-05-10
ISM,2000-06-01
NFP,2000-06-02
CPI,2000-06-14
ISM,2000-07-03
NFP,2000-07-07
CPI,2000-07-12
ISM,2000-08-01
NFP,2000-08-04
CPI,2000-08-09
ISM,2000-09-01
NFP,2000-09-01
CPI,2000-09-13
ISM,2000-10-02
NFP,2000-10-06
CPI,2000-10-11
ISM,2000-11-01
NFP,2000-11-03
CPI,2000-11-08
ISM,2000-12-01
NFP,2000-12-01
CPI,2000-12-13
ISM,2001-01-02
NFP,2001-01-05
CPI,2001-01-10
ISM,2001-02-01
NFP,2001-02-02
CPI,2001-02-14
ISM,2001-03-01
NFP,2001-03-02
CPI,2001-03-14
ISM,2001-04-02
NFP,2001-04-06
CPI,2001-04-11
ISM,2001-05-01
NFP,2001-05-04
CPI,2001-05-09
ISM,2001-06-01
NFP,2001-06-01
CPI,2001-06-13
ISM,2001-07-02
NFP,2001-07-06
CPI,2001-07-11
ISM,2001-08-01
NFP,2001-08-03
CPI,2001-08-08
ISM,2001-09-04
NFP,2001-09-07
CPI,2001-09-12
ISM,2001-10-01
NFP,2001-10-05
CPI,2001-10-10
ISM,2001-11-01
NFP,2001-11-02
CPI,2001-11-14
ISM,2001-12-03
NFP,2001-12-07
CPI,2001-12-12
ISM,2002-01-02
NFP,2002-01-04
CPI,2002-01-09
ISM,2002-02-01
NFP,2002-02-01
CPI,2002-02-13
ISM,2002-03-01
NFP,2002-03-01
CPI,2002-03-13
ISM,2002-04-01
NFP,2002-04-05
CPI,2002-04-10
ISM,2002-05-01
NFP,2002-05-03
CPI,2002-05-08
ISM,2002-06-03
NFP,2002-06-07
CPI,2002-06-12
ISM,2002-07-01
NFP,2002-07-05
CPI,2002-07-10
ISM,2002-08-01
NFP,2002-08-02
CPI,2002-08-14
ISM,2002-09-03
NFP,2002-09-06
CPI,2002-09-11
ISM,2002-10-01
NFP,2002-10-04
CPI,2002-10-09
ISM,2002-11-01
NFP,2002-11-01
CPI,2002-11-13
ISM,2002-12-02
NFP,2002-12-06
CPI,2002-12-11
ISM,2003-01-02
NFP,2003-01-03
CPI,2003-01-08
ISM,2003-02-03
NFP,2003-02-07
CPI,2003-02-12
ISM,2003-03-03
NFP,2003-03-07
CPI,2003-03-12
ISM,2003-04-01
NFP,2003-04-04
CPI,2003-04-09
ISM,2003-05-01
NFP,2003-05-02
CPI,2003-05-14
ISM,2003-06-02
NFP,2003-06-06
CPI,2003-06-11
ISM,2003-07-01
NFP,2003-07-07
CPI,2003-07-09
ISM,2003-08-01
NFP,2003-08-01
CPI,2003-08-13
ISM,2003-09-02
NFP,2003-09-05
CPI,2003-09-10
ISM,2003-10-01
NFP,2003-10-03
CPI,2003-10-08
ISM,2003-11-03
NFP,2003-11-07
CPI,2003-11-12
ISM,2003-12-01
NFP,2003-12-05
CPI,2003-12-10
ISM,2004-01-02
NFP,2004-01-02
CPI,2004-01-14
ISM,2004-02-02
NFP,2004-02-06
CPI,2004-02-11
ISM,2004-03-01
NFP,2004-03-05
CPI,2004-03-10
ISM,2004-04-01
NFP,2004-04-02
CPI,2004-04-14
ISM,2004-05-03
NFP,2004-05-07
CPI,2004-05-12
ISM,2004-06-01
NFP,2004-06-04
CPI,2004-06-09
ISM,2004-07-01
NFP,2004-07-02
CPI,2004-07-14
ISM,2004-08-02
NFP,2004-08-06
CPI,2004-08-11
ISM,2004-09-01
NFP,2004-09-03
CPI,2004-09-08
ISM,2004-10-01
NFP,2004-10-01
CPI,2004-10-13
ISM,2004-11-01
NFP,2004-11-05
CPI,2004-11-10
ISM,2004-12-01
NFP,2004-12-03
CPI,2004-12-08
ISM,2005-01-03
NFP,2005-01-07
CPI,2005-01-12
ISM,2005-02-01
NFP,2005-02-04
CPI,2005-02-09
ISM,2005-03-01
NFP,2005-03-04
CPI,2005-03-09
ISM,2005-04-01
NFP,2005-04-01
CPI,2005-04-13
ISM,2005-05-02
NFP,2005-05-06
CPI,2005-05-11
ISM,2005-06-01
NFP,2005-06-03
CPI,2005-06-08
ISM,2005-07-01
NFP,2005-07-01
CPI,2005-07-13
ISM,2005-08-01
NFP,2005-08-05
CPI,2005-08-10
ISM,2005-09-01
NFP,2005-09-02
CPI,2005-09-14
ISM,2005-10-03
NFP,2005-10-07
CPI,2005-10-12
ISM,2005-11-01
NFP,2005-11-04
CPI,2005-11-09
ISM,2005-12-01
NFP,2005-12-02
CPI,2005-12-14
ISM,2006-01-03
NFP,2006-01-06
CPI,2006-01-11
ISM,2006-02-01
NFP,2006-02-03
CPI,2006-02-08
ISM,2006-03-01
NFP,2006-03-03
CPI,2006-03-08
ISM,2006-04-03
NFP,2006-04-07
CPI,2006-04-12
ISM,2006-05-01
NFP,2006-05-05
CPI,2006-05-10
ISM,2006-06-01
NFP,2006-06-02
CPI,2006-06-14
ISM,2006-07-03
NFP,2006-07-07
CPI,2006-07-12
ISM,2006-08-01
NFP,2006-08-04
CPI,2006-08-09
ISM,2006-09-01
NFP,2006-09-01
CPI,2006-09-13
ISM,2006-10-02
NFP,2006-10-06
CPI,2006-10-11
ISM,2006-11-01
NFP,2006-11-03
CPI,2006-11-08
ISM,2006-12-01
NFP,2006-12-01
CPI,2006-12-13
ISM,2007-01-02
NFP,2007-01-05
CPI,2007-01-10
ISM,2007-02-01
NFP,2007-02-02
CPI,2007-02-14
ISM,2007-03-01
NFP,2007-03-02
CPI,2007-03-14
ISM,2007-04-02
NFP,2007-04-06
CPI,2007-04-11
ISM,2007-05-01
NFP,2007-05-04
CPI,2007-05-09
ISM,2007-06-01
NFP,2007-06-01
CPI,2007-06-13
ISM,2007-07-02
NFP,2007-07-06
CPI,2007-07-11
ISM,2007-08-01
NFP,2007-08-03
CPI,2007-08-08
ISM,2007-09-04
NFP,2007-09-07
CPI,2007-09-12
ISM,2007-10-01
NFP,2007-10-05
CPI,2007-10-10
ISM,2007-11-01
NFP,2007-11-02
CPI,2007-11-14
ISM,2007-12-03
NFP,2007-12-07
CPI,2007-12-12
ISM,2008-01-02
NFP,2008-01-04
CPI,2008-01-16
ISM,2008-02-01
NFP,2008-02-01
CPI,2008-02-20
ISM,2008-03-03
NFP,2008-03-07
CPI,2008-03-14
ISM,2008-04-01
NFP,2008-04-04
CPI,2008-04-16
ISM,2008-05-01
NFP,2008-05-02
CPI,2008-05-14
ISM,2008-06-02
NFP,2008-06-06
CPI,2008-06-13
ISM,2008-07-01
NFP,2008-07-07
CPI,2008-07-16
ISM,2008-08-01
NFP,2008-08-01
CPI,2008-08-14
ISM,2008-09-02
NFP,2008-09-05
CPI,2008-09-16
ISM,2008-10-01
NFP,2008-10-03
CPI,2008-10-16
ISM,2008-11-03
NFP,2008-11-07
CPI,2008-11-19
ISM,2008-12-01
NFP,2008-12-05
CPI,2008-12-16
ISM,2009-01-02
NFP,2009-01-02
CPI,2009-01-16
ISM,2009-02-02
NFP,2009-02-06
CPI,2009-02-20
ISM,2009-03-02
NFP,2009-03-06
CPI,2009-03-18
ISM,2009-04-01
NFP,2009-04-03
CPI,2009-04-15
ISM,2009-05-01
NFP,2009-05-01
CPI,2009-05-15
ISM,2009-06-01
NFP,2009-06-05
CPI,2009-06-17
ISM,2009-07-01
NFP,2009-07-06
CPI,2009-07-15
ISM,2009-08-03
NFP,2009-08-07
CPI,2009-08-14
ISM,2009-09-01
NFP,2009-09-04
CPI,2009-09-16
ISM,2009-10-01
NFP,2009-10-02
CPI,2009-10-15
ISM,2009-11-02
NFP,2009-11-06
CPI,2009-11-18
ISM,2009-12-01
NFP,2009-12-04
CPI,2009-12-16
ISM,2010-01-04
NFP,2010-01-04
CPI,2010-01-15
ISM,2010-02-01
NFP,2010-02-05
CPI,2010-02-19
ISM,2010-03-01
NFP,2010-03-05
CPI,2010-03-18
ISM,2010-04-01
NFP,2010-04-02
CPI,2010-04-14
ISM,2010-05-03
NFP,2010-05-07
CPI,2010-05-19
ISM,2010-06-01
NFP,2010-06-04
CPI,2010-06-17
ISM,2010-07-01
NFP,2010-07-02
CPI,2010-07-16
ISM,2010-08-02
NFP,2010-08-06
CPI,2010-08-13
ISM,2010-09-01
NFP,2010-09-03
CPI,2010-09-17
ISM,2010-10-01
NFP,2010-10-01
CPI,2010-10-15
ISM,2010-11-01
NFP,2010-11-05
CPI,2010-11-17
ISM,2010-12-01
NFP,2010-12-03
CPI,2010-12-15
ISM,2011-01-03
NFP,2011-01-07
CPI,2011-01-14
ISM,2011-02-01
NFP,2011-02-04
CPI,2011-02-17
ISM,2011-03-01
NFP,2011-03-04
CPI,2011-03-17
ISM,2011-04-01
NFP,2011-04-01
CPI,2011-04-15
ISM,2011-05-02
NFP,2011-05-06
CPI,2011-05-13
ISM,2011-06-01
NFP,2011-06-03
CPI,2011-06-15
ISM,2011-07-01
NFP,2011-07-01
CPI,2011-07-15
ISM,2011-08-01
NFP,2011-08-05
CPI,2011-08-18
ISM,2011-09-01
NFP,2011-09-02
CPI,2011-09-15
ISM,2011-10-03
NFP,2011-10-07
CPI,2011-10-19
ISM,2011-11-01
NFP,2011-11-04
CPI,2011-11-16
ISM,2011-12-01
NFP,2011-12-02
CPI,2011-12-16
ISM,2012-01-03
NFP,2012-01-06
CPI,2012-01-19
ISM,2012-02-01
NFP,2012-02-03
CPI,2012-02-17
ISM,2012-03-01
NFP,2012-03-02
CPI,2012-03-16
ISM,2012-04-02
NFP,2012-04-06
